	gene	sum159_dmso1.trimmed	sum159_dmso2.trimmed	sum159_jq1.trimmed	sum159_jq2.trimmed	symbol
243	ENSG00000121211	142.123625599906	120.390303609854	40.229432240707	42	MND1
244	ENSG00000121350	204.302711799865	178.215567548445	69.8721717864911	65	PYROXD1
245	ENSG00000121691	469.797540177467	470.185752681004	915.74891811083	753	CAT
246	ENSG00000121716	175.680592755439	152.620778592019	368.416905783317	415	PILRB
247	ENSG00000121940	37.5048456444196	88.1598286276883	0	0	CLCC1
248	ENSG00000122026	5827.06864959615	5663.0840453958	3397.26968580076	2930	RPL21
249	ENSG00000122359	314.843309488681	459.758246069127	723.071111063234	1078	ANXA11
250	ENSG00000122420	327.673914577561	293.866095425628	121.746965991613	121	PTGFR
251	ENSG00000122515	160.876048422116	184.851253574185	387.472952634178	382	ZMIZ2
252	ENSG00000122862	900.116295466071	905.29716494024	390.648960442655	337	SRGN
253	ENSG00000122884	1017.56568051044	1078.77295675601	1568.94785738757	1467	P4HA1
254	ENSG00000122966	947.490837332707	438.903232845373	299.603403266318	161	CIT
255	ENSG00000123268	135.214838244355	177.267612401911	51.8747942051222	62	ATF1
256	ENSG00000123384	864.585389066095	746.988655469015	1315.92590197892	1259	LRP1
257	ENSG00000123405	97.7099925999354	89.1077837742226	8.46935415593832	10	NFE2
258	ENSG00000123416	8672.50207046093	7248.06505040112	5685.05397717359	5282	TUBA1B
259	ENSG00000123485	455.979965466365	372.546372587973	161.97639823232	168	HJURP
260	ENSG00000123933	281.286342333147	364.014776269165	766.476551112417	1259	MXD4
261	ENSG00000123983	706.670249510644	763.103892960097	1538.2464485723	1242	ACSL3
262	ENSG00000124151	1958.14773048759	1145.12981701341	431.937061952854	371	NCOA3
263	ENSG00000124406	22.7003013110961	19.9070580772199	113.277611835675	323	ATP8A1
264	ENSG00000124574	43.4266633777491	46.4498021801798	134.450997225521	216	ABCC10
265	ENSG00000124762	162.849987666559	152.620778592019	439.3477468393	613	CDKN1A
266	ENSG00000124782	78.9575697777256	683.475660651218	63.5201561695374	57	RREB1
267	ENSG00000124783	1398.53595468796	1461.74683595586	1006.79447528717	915	SSR1
268	ENSG00000124942	4730.54539930798	4432.63826519431	10181.2223647073	8855	AHNAK
269	ENSG00000125633	156.92816993323	101.431200679168	394.883637520624	471	CCDC93
270	ENSG00000125676	894.194477732742	795.334367942263	1675.87345360629	1230	THOC2
271	ENSG00000125977	844.845996621664	975.445845783777	491.222541044422	586	EIF2S2
272	ENSG00000126214	225.029073866518	250.260158685051	500.750564469853	436	KLC1
273	ENSG00000126603	3.94787848888628	0	19.0560468508612	71	GLIS2
274	ENSG00000126787	668.178434244003	660.724737134395	327.128804273117	287	DLGAP5
275	ENSG00000127324	106.59271919993	106.17097641184	34.9360858932456	25	TSPAN8
276	ENSG00000127419	17.7654531999883	31.2825198356313	91.0455571763369	98	TMEM175
277	ENSG00000127481	1017.56568051044	734.665238564069	1434.49686016205	1717	UBR4
278	ENSG00000127947	323.726036088675	249.312203538516	531.451973285129	522	PTPN12
279	ENSG00000127948	667.191464621781	642.713589350244	950.685004004076	1015	POR
280	ENSG00000127995	44.4136329999706	44.5538918871113	111.16027329669	138	CASD1
281	ENSG00000128050	2155.54165493191	2177.45297158925	1421.79282892814	1289	PAICS
282	ENSG00000128159	149.032412955457	159.256464617759	277.37134860698	328	TUBGCP6
283	ENSG00000128311	71.061812799953	79.6282323088797	171.504421657751	200	TST
284	ENSG00000128422	62.1790861999589	69.2007256970026	9.52802342543061	11	KRT17
