	sum159_dmso1.trimmed	sum159_dmso2.trimmed	sum159_jq1.trimmed	sum159_jq2.trimmed
ENSG00000008277	3.53536988506709	3.47071913868685	3.69490693870634	3.59352355636587
ENSG00000008282	9.26882338698138	9.28616371005115	9.14402714919366	8.90658597290812
ENSG00000008283	7.77394690364492	7.86146299700583	7.55658663225411	7.81920917100479
ENSG00000008294	9.79912166214036	9.6505986432227	10.0417045578507	9.91787889917995
ENSG00000008300	6.99841943181272	6.67552780064943	7.24297683075071	7.47817386018082
ENSG00000008311	5.94659041401239	6.12494551011613	6.28151391467587	6.18501949283843
ENSG00000008323	2.64341112992983	2.65694153959769	2.61042659667329	2.60418706295054
ENSG00000008324	6.10243662953462	6.29357232088887	6.07959010449848	5.97377469900793
ENSG00000008382	5.39276674070519	5.38672892204573	5.50606090024476	5.89190692561016
ENSG00000008394	10.501370067186	10.3327146602787	10.4488634906413	10.1176227908751
ENSG00000008405	6.07207776161425	5.86824199521863	6.54641340658792	6.53120592673825
ENSG00000008438	-0.982567966237	-1.00559236269994	-0.98140520235926	-1.00553178386661
ENSG00000008441	7.7379551608163	7.68434239590196	7.46605168587526	7.6984256984358
ENSG00000008513	7.3856790355918	7.30056030953756	7.59662273301656	6.84431684297332
ENSG00000008516	-1.03099484758363	-1.00946217356733	-1.03020606570439	-1.00835206753886
ENSG00000008517	8.78894769508986	8.58124856815215	7.79521431532983	7.74776393019523
ENSG00000008710	8.05860610476596	9.22685535563731	8.86133712807677	9.63753030070922
ENSG00000008735	1.14951388632421	1.10392611053387	1.15273357272876	1.2144345183792
ENSG00000008838	8.13031350335616	8.09753146051622	8.18685798017582	7.94187322931156
ENSG00000008853	6.3714026188152	5.81316391362305	6.08749292824708	6.62099340334747
ENSG00000008869	7.76219626788001	7.79983270847719	8.24510164984764	7.92040542011543
ENSG00000008952	9.40272788196216	9.42012448179904	9.26433341888725	9.28454722899496
ENSG00000008988	11.8298849943861	11.8566062410522	11.8129134679078	11.7661634633552
ENSG00000009307	10.7476641501603	10.8059986005458	10.630777811658	10.3795264373515
ENSG00000009335	9.3836333790546	9.30569663030314	9.55404129106954	9.5463078849037
ENSG00000009413	8.85158514337162	8.37699696966521	7.85659475122306	8.91069033001629
ENSG00000009694	8.29355143656334	7.90717219328139	9.40712796178559	9.1887377219106
ENSG00000009709	0	0	0	0
ENSG00000009724	2.73703504518378	2.7538837377715	2.88889505152228	2.820748779285
ENSG00000009765	-1.02034871404033	-1.02039349930295	-1.01955721971042	-0.974772486381347
ENSG00000009780	5.18669054612262	5.45487721221489	5.58308966520349	5.75915873775231
ENSG00000009790	0.799163835731544	0.776032443184895	0.847735952995753	0.844091804364398
ENSG00000009830	6.01307563859292	6.43126876275188	6.41439443712454	6.17245886522893
ENSG00000009844	8.52838934820019	8.45950216510708	8.50379457014452	8.49067261920068
ENSG00000009950	6.47672120447975	6.40284835585764	6.57081366485431	6.47030584735143
ENSG00000009954	9.07626166623547	9.09699666830561	9.14309795052749	9.00740835464848
ENSG00000010017	7.35892344545449	7.18006461338009	7.53366885852674	7.42234942511055
ENSG00000010030	1.48659544353978	1.35736795485911	1.33791755827765	1.31204111341104
ENSG00000010072	5.69016624105118	5.73957114769049	5.67228973366212	5.74998716074119
ENSG00000010165	7.16528172633196	7.25982175063338	7.05418668987084	7.20241363673131
ENSG00000010219	6.66781435239016	6.65445402200516	6.02017623103703	5.91257768265377
ENSG00000010244	9.92722356194287	9.83092981709737	9.92967820042977	9.92717429633772
ENSG00000010256	9.84530610076442	9.63902323962568	9.88870896938355	9.96912736420832
ENSG00000010270	7.81627068394298	7.82290891696223	7.48464271805377	7.5420967938035
ENSG00000010278	7.2452835716371	7.20273778820549	7.55407331262042	7.39784876033239
ENSG00000010282	0	0	0	0
ENSG00000010292	10.6737617741801	10.5909670483671	10.22940256787	10.536136323468
ENSG00000010295	6.48178322273809	6.43860405817997	6.51381598253006	6.76675168903867
ENSG00000010310	3.76665864283742	3.85430586073794	3.88127795214875	4.10856162693379
ENSG00000010318	4.55654183460844	4.54283278930272	4.61270711977752	4.66414027920604
ENSG00000010319	2.6419731068194	2.98042885044877	2.64623873339261	2.73509749071749
ENSG00000010322	8.30901576813705	8.25529716716527	8.60250371362031	8.70125725954816
ENSG00000010327	0.441563197154252	0.545786952065179	0.441785458921252	0.464682552418902
ENSG00000010361	5.20164689349937	5.1071237528588	4.94228678602529	5.35544056424764
ENSG00000010379	0.288458859686743	0.288347248661665	0.404040100875166	0.288495942057495
ENSG00000010404	9.27305185312141	9.2607272127324	9.75106099106949	9.72766757223823
ENSG00000010438	6.4361570640258	6.39243898572784	6.78717788525375	6.74433823910237
ENSG00000010539	5.64691563405609	5.40114623337567	5.48054985465933	5.64422974094329
